rank,name,hand_scene,proposed_rubric_score,proposed_credits,evidence_institution,evidence_festival,evidence_ibiza,evidence_label,existing_tags
61,East End Dubs,80,52,ibiza; label,,,Amnesia Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),
62,Seth Troxler,85,73,institution; ibiza; label,DC-10; fabric; Watergate,,DC-10; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
63,Ben Böhmer,78,35,label,,,,label_score 100/100 (name not stored — confirm),
64,Bob Sinclar,77,25,ibiza,,,Pacha Ibiza; Hï Ibiza,,
65,Roddy Lima,75,35,label,,,,label_score 100/100 (name not stored — confirm),
66,Laurent Garnier,88,64,institution; label,Rex Club; Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
67,Luke Dean,74,,,,,,,
68,Booka Shade,77,64,institution; label,fabric,,,label_score 80/100 (name not stored — confirm),
69,Dennis Cruz,79,73,institution; ibiza; label,DC-10,,DC-10; Amnesia Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),
70,Massano,75,52,ibiza; label,,,Hï Ibiza; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
71,Dennis Ferrer,79,52,ibiza; label,,,Pacha Ibiza; Amnesia Ibiza; Ushuaïa Ibiza,label_score 100/100 (name not stored — confirm),
72,Riordan,74,69,festival; ibiza; label,,Factory Town,Amnesia Ibiza; [UNVRS],label_score 100/100 (name not stored — confirm),
73,Nick Curly,72,73,institution; ibiza; label,Watergate,,Pacha Ibiza,label_score 100/100 (name not stored — confirm),
74,Eric Prydz,84,52,ibiza; label,,,Hï Ibiza; Amnesia Ibiza; [UNVRS],label_score 100/100 (name not stored — confirm),
75,Surgeon,74,64,institution; label,Berghain | Panorama Bar | Säule; Tresor / Globus; fabric; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
76,Mall Grab,72,,,,,,,
77,Vintage Culture,40,52,ibiza; label,,,Hï Ibiza; Ushuaïa Ibiza; Pacha Ibiza; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),Tomorrowland mainstage; Festival headliner
78,Marco Faraone,73,52,ibiza; label,,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
79,AYYBO,75,35,label,,,,label_score 100/100 (name not stored — confirm),
80,Nora En Pure,74,25,ibiza,,,Privilege; Hï Ibiza,,
81,ALISHA,76,52,festival; ibiza,,The Warehouse Project,Amnesia Ibiza,,
82,Cristoph,74,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
83,SIDEPIECE,82,35,label,,,,label_score 100/100 (name not stored — confirm),
84,David Morales,83,52,ibiza; label,,,Pacha Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),
85,Ben Sterling,78,69,festival; ibiza; label,,Factory Town,Amnesia Ibiza; Hï Ibiza; Pacha Ibiza,label_score 80/100 (name not stored — confirm),
86,MK,83,25,ibiza,,,Ushuaïa Ibiza; Pacha Ibiza,,
87,Midland,77,64,institution; label,Berghain | Panorama Bar | Säule; Corsica Studios; fabric,,,label_score 100/100 (name not stored — confirm),Graded (own label); fabric; Essential Mix; Boiler Room
88,Alan Fitzpatrick,76,58,institution; ibiza,fabric; DC-10; Watergate,,Amnesia Ibiza; DC-10,,
89,Kerri Chandler,82,73,institution; ibiza; label,DC-10; Watergate,,DC-10,label_score 85/100 (name not stored — confirm),
90,Amelie Lens,80,73,institution; ibiza; label,DC-10; fabric,,DC-10,label_score 100/100 (name not stored — confirm),
91,Monolink,76,,,,,,,
92,Joseph Capriati,78,73,institution; ibiza; label,DC-10; fabric,,Amnesia Ibiza; DC-10,label_score 100/100 (name not stored — confirm),
93,Mochakk,66,73,institution; ibiza; label,DC-10,,DC-10,label_score 100/100 (name not stored — confirm),
94,Jimi Jules,73,64,institution; label,Watergate,,,label_score 100/100 (name not stored — confirm),
95,Sam Paganini,74,25,ibiza,,,Amnesia Ibiza,,
96,Huxley,73,73,institution; ibiza; label,fabric,,Pacha Ibiza,label_score 100/100 (name not stored — confirm),
97,Mason Collective,72,52,ibiza; label,,,Amnesia Ibiza; Hï Ibiza; Pacha Ibiza,label_score 100/100 (name not stored — confirm),Under No Illusion; Boiler Room
98,CamelPhat,48,52,ibiza; label,,,Hï Ibiza; Pacha Ibiza; Ushuaïa Ibiza; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
99,Actress,72,64,institution; label,Corsica Studios; Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
100,Julian Fijma,73,25,ibiza,,,Amnesia Ibiza,,
101,Lee Foss,75,35,label,,,,label_score 100/100 (name not stored — confirm),
102,Marshall Jefferson,82,44,institution,://about blank,,,,
103,Stephan Bodzin,80,73,institution; ibiza; label,Rex Club,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
104,Michael Mayer,76,64,institution; label,fabric; Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
105,Jayda G,74,69,festival; ibiza; label,,The Warehouse Project,Hï Ibiza,label_score 100/100 (name not stored — confirm),
106,Disco Lines,77,35,label,,,,label_score 80/100 (name not stored — confirm),
107,Antdot,70,25,ibiza,,,Hï Ibiza,,
108,Carlita,80,82,institution; festival; ibiza; label,DC-10,Factory Town,DC-10; Hï Ibiza,label_score 100/100 (name not stored — confirm),
109,Roger Sanchez,79,52,ibiza; label,,,Pacha Ibiza; Hï Ibiza; Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
110,Richie Hawtin,88,58,institution; ibiza,fabric,,Amnesia Ibiza,,
111,Maceo Plex,80,73,institution; ibiza; label,DC-10,,Pacha Ibiza; DC-10; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),Lone Romantic / Ellum; DC10; Essential Mix; Awakenings
112,DJ Rush,74,64,institution; label,Tresor / Globus; Berghain | Panorama Bar | Säule,,,label_score 80/100 (name not stored — confirm),
113,Floating Points,78,64,institution; label,Corsica Studios; Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
114,Mount Kimbie,74,64,institution; label,fabric; Sub Club,,,label_score 100/100 (name not stored — confirm),
115,Rossi.,76,73,institution; ibiza; label,fabric,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
116,DJ Tennis,73,73,institution; ibiza; label,DC-10; fabric; Berghain | Panorama Bar | Säule,,DC-10; Pacha Ibiza,label_score 100/100 (name not stored — confirm),
117,Slam,74,64,institution; label,Sub Club; fabric,,,label_score 85/100 (name not stored — confirm),
118,Maya Jane Coles,76,58,institution; ibiza,fabric; Watergate,,Ushuaïa Ibiza; Pacha Ibiza,,
119,Loco Dice,79,73,institution; ibiza; label,DC-10,,Amnesia Ibiza; DC-10; Ushuaïa Ibiza,label_score 80/100 (name not stored — confirm),
120,HAAi,74,64,institution; festival,Rex Club; fabric,The Warehouse Project,,,
121,Ultra Nate,62,,,,,,,
122,Special Request,72,77,institution; festival; label,fabric; Berghain | Panorama Bar | Säule,The Warehouse Project,,label_score 100/100 (name not stored — confirm),
123,Pablo Fierro,70,44,institution,Watergate,,,,
124,Patrick Topping,80,73,institution; ibiza; label,DC-10,,DC-10; Hï Ibiza; Amnesia Ibiza; Ushuaïa Ibiza,label_score 90/100 (name not stored — confirm),
125,Layton Giordani,65,64,institution; label,Watergate,,,label_score 100/100 (name not stored — confirm),
126,Colyn,72,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
127,Hugel,28,69,festival; ibiza; label,,Factory Town,Hï Ibiza; Ushuaïa Ibiza; Pacha Ibiza,label_score 100/100 (name not stored — confirm),Defected releases; Festival sets; Ibiza dates
128,Objekt,73,64,institution; label,Berghain | Panorama Bar | Säule; fabric; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
129,Octave One,75,64,institution; label,Tresor / Globus; Rex Club; fabric; Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
130,Louie Vega,81,25,ibiza,,,Hï Ibiza,,
131,Meduza,20,69,festival; ibiza; label,,Factory Town,Hï Ibiza,label_score 100/100 (name not stored — confirm),
132,RÜFÜS DU SOL,55,69,festival; ibiza; label,,"venue tier 5/5 (5,000+ cap)",Pacha Ibiza,label_score 100/100 (name not stored — confirm),
133,Ranger Trucco,76,35,festival,,Factory Town,,,
134,Len Faki,73,44,institution,Berghain | Panorama Bar | Säule,,,,
135,Tim Engelhardt,70,64,institution; label,Watergate,,,label_score 85/100 (name not stored — confirm),
136,Silva Bumpa,72,,,,,,,
137,Skream,79,58,institution; ibiza,fabric; DC-10,,DC-10; Amnesia Ibiza,,
138,Locklead,74,52,ibiza; label,,,Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
139,Helena Hauff,76,44,institution,://about blank; Berghain | Panorama Bar | Säule; Tresor / Globus; fabric,,,,
140,Andrea Oliva,75,52,ibiza; label,,,Ushuaïa Ibiza; Hï Ibiza,label_score 100/100 (name not stored — confirm),
141,Discip,72,35,label,,,,label_score 100/100 (name not stored — confirm),
142,Kamilo Sanclemente,70,35,label,,,,label_score 80/100 (name not stored — confirm),
143,Bonobo,78,35,festival,,"venue tier 5/5 (5,000+ cap)",,,
144,Steve Lawler,79,52,ibiza; label,,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
145,Planetary Assault Systems,68,64,institution; label,Berghain | Panorama Bar | Säule; fabric,,,label_score 100/100 (name not stored — confirm),
146,John Talabot,73,64,institution; label,Berghain | Panorama Bar | Säule; Corsica Studios; Rex Club,,,label_score 100/100 (name not stored — confirm),
147,Blawan,73,44,institution,Berghain | Panorama Bar | Säule; fabric,,,,
148,Mano Le Tough,76,73,institution; ibiza; label,Berghain | Panorama Bar | Säule; DC-10,,DC-10; Pacha Ibiza,label_score 100/100 (name not stored — confirm),
149,Palms Trax,68,64,institution; label,Berghain | Panorama Bar | Säule; DC-10,,,label_score 100/100 (name not stored — confirm),
150,Roman Flügel,73,64,institution; label,Robert Johnson; Berghain | Panorama Bar | Säule; fabric,,,label_score 100/100 (name not stored — confirm),
151,HoneyLuv,79,52,ibiza; label,,,Hï Ibiza; Amnesia Ibiza; Ushuaïa Ibiza,label_score 85/100 (name not stored — confirm),
152,Paco Osuna,78,52,ibiza; label,,,Hï Ibiza; Amnesia Ibiza,label_score 90/100 (name not stored — confirm),
153,Luciano,80,58,institution; ibiza,DC-10,,Ushuaïa Ibiza; Pacha Ibiza; Amnesia Ibiza; DC-10,,
154,Mathew Jonson,72,73,institution; ibiza; label,fabric; Watergate; Berghain | Panorama Bar | Säule; DC-10,,DC-10,label_score 100/100 (name not stored — confirm),
155,TSHA,74,82,institution; festival; ibiza; label,DC-10,The Warehouse Project,Hï Ibiza; DC-10; Ushuaïa Ibiza,label_score 100/100 (name not stored — confirm),
156,The Hacker,70,64,institution; label,Berghain | Panorama Bar | Säule; Rex Club,,,label_score 100/100 (name not stored — confirm),
157,Gorge,74,,,,,,,
158,Lauer,70,64,institution; label,Robert Johnson; Berghain | Panorama Bar | Säule,,,label_score 85/100 (name not stored — confirm),
159,Kevin Saunderson,84,64,institution; label,fabric,,,label_score 90/100 (name not stored — confirm),
160,Dax J,74,44,institution,Berghain | Panorama Bar | Säule; Corsica Studios; Bassiani; fabric,,,,
161,Archie Hamilton,74,73,institution; ibiza; label,fabric,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
162,Rebüke,77,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
163,DJ Boring,70,35,label,,,,label_score 80/100 (name not stored — confirm),
164,Jamback,35,35,label,,,,label_score 100/100 (name not stored — confirm),
165,John Digweed,82,35,label,,,,label_score 85/100 (name not stored — confirm),
166,Obskür,74,52,ibiza; label,,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
167,Ben UFO,78,44,institution,fabric; DC-10; Berghain | Panorama Bar | Säule,,,,
168,Recondite,70,73,institution; ibiza; label,Berghain | Panorama Bar | Säule,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
169,Hannah Wants,76,52,ibiza; label,,,Amnesia Ibiza; Pacha Ibiza; Eden,label_score 100/100 (name not stored — confirm),
170,Richy Ahmed,76,73,institution; ibiza; label,DC-10; Watergate; fabric,,DC-10; Amnesia Ibiza,label_score 90/100 (name not stored — confirm),
171,I Hate Models,72,,,,,,,
172,Gerd Janson,75,73,institution; ibiza; label,Berghain | Panorama Bar | Säule; Robert Johnson; DC-10,,DC-10,label_score 90/100 (name not stored — confirm),
173,Hunee,74,44,institution,Berghain | Panorama Bar | Säule; De School,,,,
174,Secondcity,74,73,institution; ibiza; label,fabric,,Ushuaïa Ibiza; Amnesia Ibiza,label_score 90/100 (name not stored — confirm),
175,Sonny Fodera,70,52,ibiza; label,,,Amnesia Ibiza; Pacha Ibiza,label_score 100/100 (name not stored — confirm),
176,Call Super,70,64,institution; label,Berghain | Panorama Bar | Säule; fabric; DC-10; De School,,,label_score 80/100 (name not stored — confirm),
177,Josh Gigante,50,64,institution; label,fabric,,,label_score 100/100 (name not stored — confirm),
178,Wolf + Lamb,72,64,institution; label,Watergate,,,label_score 100/100 (name not stored — confirm),
179,Groove Armada,75,73,institution; ibiza; label,fabric,,Pacha Ibiza; Ushuaïa Ibiza; Eden,label_score 80/100 (name not stored — confirm),
180,Trikk,68,64,institution; label,Corsica Studios,,,label_score 100/100 (name not stored — confirm),
181,Enoo Napa,70,52,ibiza; label,,,Hï Ibiza; Eden,label_score 80/100 (name not stored — confirm),
182,Biscits,77,35,label,,,,label_score 90/100 (name not stored — confirm),
183,Truncate,70,64,institution; label,Berghain | Panorama Bar | Säule,,,label_score 80/100 (name not stored — confirm),
184,Kollektiv Turmstrasse,76,64,institution; label,Watergate,,,label_score 80/100 (name not stored — confirm),
185,BICEP,83,44,institution,Berghain | Panorama Bar | Säule; Corsica Studios,,,,
186,Arodes,54,52,ibiza; label,,,Hï Ibiza; Pacha Ibiza,label_score 80/100 (name not stored — confirm),
187,Ricardo Villalobos,85,73,institution; ibiza; label,fabric; Robert Johnson; Berghain | Panorama Bar | Säule; Watergate,,Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
188,Pearson Sound,70,64,institution; label,fabric; Berghain | Panorama Bar | Säule; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
189,Danny Tenaglia,80,52,ibiza; label,,,Pacha Ibiza,label_score 80/100 (name not stored — confirm),
190,Axel Boman,73,64,institution; label,Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
191,Todd Terry,80,25,ibiza,,,Hï Ibiza; Pacha Ibiza,,
192,Innellea,72,25,ibiza,,,Hï Ibiza,,
193,DJ Stingray 313,72,64,institution; label,Berghain | Panorama Bar | Säule; Tresor / Globus; fabric; ://about blank; BASEMENT,,,label_score 100/100 (name not stored — confirm),
194,Woo York,68,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
195,HotLap,50,35,label,,,,label_score 80/100 (name not stored — confirm),
196,Gai Barone,70,,,,,,,
197,Deborah De Luca,76,52,ibiza; label,,,Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
198,Oxia,75,73,institution; ibiza; label,Rex Club,,Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
199,WEISS,76,35,label,,,,label_score 100/100 (name not stored — confirm),
200,Hardt Antoine,50,64,institution; label,fabric,,,label_score 100/100 (name not stored — confirm),
201,DJ Pierre,80,64,institution; label,Rex Club,,,label_score 85/100 (name not stored — confirm),
202,Rafael,50,69,festival; ibiza; label,,Factory Town,[UNVRS],label_score 100/100 (name not stored — confirm),
203,Pangaea,68,64,institution; label,fabric; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
204,Shiba San,79,35,label,,,,label_score 100/100 (name not stored — confirm),
205,Mathame,74,25,ibiza,,,Amnesia Ibiza; Hï Ibiza,,
206,Jay Lumen,68,,,,,,,
207,Jitwam,76,,,,,,,
208,Duke Dumont,80,73,institution; ibiza; label,fabric,,Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
209,RSquared,50,73,institution; ibiza; label,fabric,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
210,Guy Gerber,76,52,ibiza; label,,,Pacha Ibiza,label_score 80/100 (name not stored — confirm),
211,HVOB,70,44,institution,Watergate,,,,
212,Steve Bug,76,64,institution; label,fabric; Watergate; Rex Club,,,label_score 80/100 (name not stored — confirm),
213,MALUGI,72,44,institution,Watergate,,,,
214,LUCH,50,35,label,,,,label_score 100/100 (name not stored — confirm),
215,Mark Farina,78,,,,,,,
216,Answer Code Request,68,64,institution; label,Berghain | Panorama Bar | Säule; fabric,,,label_score 100/100 (name not stored — confirm),
217,Chelina Manuhutu,72,52,ibiza; label,,,Ushuaïa Ibiza; Hï Ibiza; [UNVRS]; Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
218,Tornado Wallace,68,64,institution; label,The Mercat Basement; Berghain | Panorama Bar | Säule; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
219,Kenny Larkin,73,64,institution; label,Berghain | Panorama Bar | Säule; fabric; Watergate,,,label_score 90/100 (name not stored — confirm),
220,Alinka,68,64,institution; label,Berghain | Panorama Bar | Säule,,,label_score 80/100 (name not stored — confirm),
221,The Martinez Brothers,87,35,label,,,,label_score 100/100 (name not stored — confirm),
222,Cam Stockman,42,35,label,,,,label_score 80/100 (name not stored — confirm),
223,Themba,74,25,ibiza,,,Hï Ibiza,,
224,Gene Farris,72,35,label,,,,label_score 100/100 (name not stored — confirm),
225,Brunello,50,,,,,,,
226,Move D,73,64,institution; label,://about blank; Corsica Studios; Robert Johnson,,,label_score 85/100 (name not stored — confirm),
227,Tale Of Us,82,73,institution; ibiza; label,DC-10,,Hï Ibiza; DC-10; Privilege,label_score 100/100 (name not stored — confirm),Afterlife (own label); Festival headliner; Essential Mix
228,Regis,68,64,institution; label,Tresor / Globus; Berghain | Panorama Bar | Säule; fabric; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
229,Route 94,74,73,institution; ibiza; label,fabric; DC-10,,Eden; DC-10,label_score 100/100 (name not stored — confirm),
230,Volkoder,50,35,label,,,,label_score 100/100 (name not stored — confirm),
231,DJ Harvey,70,73,institution; ibiza; label,Berghain | Panorama Bar | Säule,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
232,Justin Martin,73,,,,,,,
233,Alignment,70,,,,,,,
234,Walker & Royce,77,35,label,,,,label_score 100/100 (name not stored — confirm),
235,Gui Boratto,75,35,label,,,,label_score 100/100 (name not stored — confirm),
236,Kyle Watson,76,35,label,,,,label_score 90/100 (name not stored — confirm),
237,999999999,68,64,institution; label,KHIDI,,,label_score 80/100 (name not stored — confirm),
238,Robert Babicz,70,44,institution,Berghain | Panorama Bar | Säule,,,,
239,Dense & Pika,73,35,label,,,,label_score 100/100 (name not stored — confirm),
